,1,2,1+2,1+2PL,1+3,2PL,3ANIM,3ANIM.PL,3INAN
[lg](PC),[wf](pc-1?nt&no_language),[wf](pc-2?nt&no_language),[wf](pc-12?nt&no_language),[wf](pc-12pl?nt&no_language),[wf](pc-13?nt&no_language),[wf](pc-2pl?nt&no_language),[wf](pc-3anim?nt&no_language),[wf](pc-3animpl?nt&no_language),[wf](pc-3inan?nt&no_language)
[lg](PPek),[wf](PPek-f-23?nt&no_language),[wf](PPek-f-58?nt&no_language),[wf](PPek-f-96?nt&no_language),,[wf](PPek-f-161?nt&no_language),[wf](PPek-f-197?nt&no_language),[wf](PPek-f-223?nt&no_language),,[wf](PPek-f-259?nt&no_language)
[lg](PTar),[wf](PTar-f-26?nt&no_language),[wf](PTar-f-61?nt&no_language),[wf](PTar-f-98?nt&no_language),[wf](PTar-f-131?nt&no_language),[wf](PTar-f-165?nt&no_language),[wf](PTar-f-200?nt&no_language),[wf](PTar-f-224?nt&no_language),[wf](PTar-f-242?nt&no_language),[wf](PTar-f-260?nt&no_language)
[lg](PPar),[wf](PPar-f-22?nt&no_language),[wf](PPar-f-57?nt&no_language),[wf](PPar-f-94?nt&no_language) / [wf](PPar-f-95?nt&no_language),[wf](PPar-f-128?nt&no_language) / [wf](PPar-f-129?nt&no_language),[wf](PPar-f-160?nt&no_language),[wf](PPar-f-196?nt&no_language),[wf](PPar-f-222?nt&no_language),[wf](PPar-f-241?nt&no_language),[wf](PPar-f-258?nt&no_language)
[lg](PMan),[wf](PMan-f-18?nt&no_language) / [wf](PMan-f-19?nt&no_language),[wf](PMan-f-55?nt&no_language),[wf](PMan-f-92?nt&no_language),,[wf](PMan-f-158?nt&no_language),[wf](PMan-f-194?nt&no_language),,[wf](PMan-f-595?nt&no_language),
[lg](pan),[wf](pan-f-15?nt&no_language),[wf](pan-f-52?nt&no_language),[wf](pan-f-89?nt&no_language),[wf](pan-f-124?nt&no_language),[wf](pan-f-155?nt&no_language),[wf](pan-f-191?nt&no_language),,,
[lg](PPem),[wf](PPem-f-24?nt&no_language),[wf](PPem-f-59?nt&no_language),[wf](PPem-f-97?nt&no_language),[wf](PPem-f-130?nt&no_language),[wf](PPem-f-162?nt&no_language) / [wf](PPem-f-163?nt&no_language),[wf](PPem-f-198?nt&no_language),,,
[lg](mak),[wf](mak-f-12?nt&no_language),[wf](mak-f-50?nt&no_language),[wf](mak-f-87?nt&no_language),[wf](mak-f-123?nt&no_language),[wf](mak-f-153?nt&no_language),[wf](mak-f-189?nt&no_language),[wf](mak-f-220?nt&no_language),[wf](mak-f-239?nt&no_language),[wf](mak-f-256?nt&no_language)
[lg](tam),[wf](tam-f-30?nt&no_language),[wf](tam-f-65?nt&no_language),[wf](tam-f-102?nt&no_language),[wf](tam-f-135?nt&no_language),[wf](tam-f-169?nt&no_language),[wf](tam-f-204?nt&no_language),[wf](tam-f-227?nt&no_language),,
[lg](kar),[wf](kar-f-9?nt&no_language),[wf](kar-f-47?nt&no_language),[wf](kar-f-83?nt&no_language) / [wf](kar-f-84?nt&no_language),[wf](kar-f-119?nt&no_language) / [wf](kar-f-120?nt&no_language),[wf](kar-f-150?nt&no_language),[wf](kar-f-186?nt&no_language),[wf](kar-f-217?nt&no_language) / [wf](kar-f-218?nt&no_language),[wf](kar-f-236?nt&no_language) / [wf](kar-f-237?nt&no_language),[wf](kar-f-254?nt&no_language)
[lg](way),[wf](way-f-34?nt&no_language),[wf](way-f-69?nt&no_language) / [wf](way-f-70?nt&no_language),[wf](way-f-106?nt&no_language),[wf](way-f-139?nt&no_language),[wf](way-f-173?nt&no_language),[wf](way-f-208?nt&no_language),[wf](way-f-231?nt&no_language),[wf](way-f-248?nt&no_language),[wf](way-f-267?nt&no_language)
[lg](apa),[wf](apa-f-2?nt&no_language),[wf](apa-f-40?nt&no_language),[wf](apa-f-77?nt&no_language),[wf](apa-f-112?nt&no_language),[wf](apa-f-142?nt&no_language),[wf](apa-f-179?nt&no_language),[wf](apa-f-213?nt&no_language),[wf](apa-f-233?nt&no_language),[wf](apa-f-250?nt&no_language)
[lg](yuk),[wf](yuk-f-37?nt&no_language),[wf](yuk-f-73?nt&no_language) / [wf](yuk-f-74?nt&no_language),[wf](yuk-f-109?nt&no_language),,[wf](yuk-f-176?nt&no_language),[wf](yuk-f-211?nt&no_language),,,
[lg](uxc),[wf](uxc-f-32?nt&no_language),[wf](uxc-f-67?nt&no_language),[wf](uxc-f-104?nt&no_language),[wf](uxc-f-137?nt&no_language),[wf](uxc-f-171?nt&no_language),[wf](uxc-f-206?nt&no_language),[wf](uxc-f-229?nt&no_language),[wf](uxc-f-246?nt&no_language),[wf](uxc-f-264?nt&no_language) / [wf](uxc-f-265?nt&no_language)
[lg](wmr),[wf](wmr-f-35?nt&no_language),[wf](wmr-f-71?nt&no_language),[wf](wmr-f-107?nt&no_language),,[wf](wmr-f-174?nt&no_language),[wf](wmr-f-209?nt&no_language),,,[wf](wmr-f-268?nt&no_language)
